     1	01L
     2	02E
     3	08T
     4	0A2
     5	0AM
     6	0AY
     7	0EG
     8	0KL
     9	0KX
    10	0L3
    11	0L4
    12	0L5
    13	0L6
    14	0L7
    15	0N3
    16	0N4
    17	0NA
    18	0NB
    19	0ND
    20	0NE
    21	0NG
    22	0OH
    23	0OJ
    24	0P2
    25	0R5
    26	0R6
    27	0R7
    28	0SA
    29	0SP
    30	0TT
    31	0ZW
    32	0ZX
    33	0ZY
    34	105
    35	118
    36	1C0
    37	1EC
    38	1EE
    39	1FZ
    40	1GC
    41	1KH
    42	1NH
    43	1PB
    44	1PC
    45	1PV
    46	1Q9
    47	1TP
    48	1U0
    49	1WT
    50	1WU
    51	23T
    52	24I
    53	2A5
    54	2BH
    55	2DB
    56	2DE
    57	2DM
    58	2FK
    59	2JU
    60	2KH
    61	2NO
    62	2OA
    63	2PH
    64	2TP
    65	312
    66	34F
    67	365
    68	368
    69	38I
    70	3AG
    71	3AN
    72	3AT
    73	3OJ
    74	3ZZ
    75	412
    76	427
    77	44P
    78	4BD
    79	4CB
    80	4GW
    81	4PS
    82	4U7
    83	543
    84	574
    85	5AB
    86	5GW
    87	5SI
    88	607
    89	690
    90	693
    91	6CF
    92	6LI
    93	702
    94	830
    95	847
    96	864
    97	876
    98	885
    99	8AG
   100	8AR
   101	8BA
   102	8DD
   103	8DG
   104	8GD
   105	8GT
   106	8OD
   107	8PA
   108	914
   109	A01
   110	A0P
   111	A12
   112	A48
   113	A8D
   114	AB5
   115	ABG
   116	ABH
   117	ABP
   118	ABT
   119	ACP
   120	ACQ
   121	ADI
   122	ADP
   123	AF3
   124	AFC
   125	AGN
   126	AI2
   127	AIO
   128	ALF
   129	AL
   130	ALK
   131	AN2
   132	ANK
   133	ANP
   134	ANZ
   135	AP2
   136	AP7
   137	APB
   138	APC
   139	APW
   140	AQP
   141	AR
   142	ARS
   143	ART
   144	ARU
   145	ASR
   146	AST
   147	AT7
   148	ATF
   149	ATP
   150	ATR
   151	ATS
   152	ATY
   153	AU1
   154	AVP
   155	AYD
   156	B07
   157	B08
   158	B0S
   159	B1F
   160	B20
   161	B24
   162	B28
   163	B29
   164	B2A
   165	B2F
   166	B2I
   167	B2Q
   168	B2V
   169	B44
   170	B65
   171	B69
   172	B70
   173	B75
   174	B76
   175	BA
   176	BDB
   177	BEF
   178	BF2
   179	BF4
   180	BFC
   181	BFD
   182	BGO
   183	BGR
   184	BH6
   185	BHI
   186	BI7
   187	BJH
   188	BJI
   189	BJP
   190	BLE
   191	BLY
   192	BMH
   193	BMR
   194	BNO
   195	BO2
   196	BO3
   197	BO4
   198	BO8
   199	BO9
   200	BON
   201	BOR
   202	BPR
   203	BR
   204	BRO
   205	BS3
   206	BSC
   207	BSF
   208	BSG
   209	BSH
   210	BUB
   211	BUP
   212	BYG
   213	BZB
   214	C08
   215	C6Q
   216	C8D
   217	C9P
   218	CAC
   219	CAD
   220	CAF
   221	CA
   222	CAS
   223	CB4
   224	CC0
   225	CC1
   226	CDC
   227	CDF
   228	CDP
   229	CFQ
   230	CH1
   231	CIX
   232	CLB
   233	CLD
   234	CL
   235	CLG
   236	CLH
   237	CLO
   238	CPR
   239	CSB
   240	CS
   241	CSG
   242	CSR
   243	CTB
   244	CTP
   245	CTV
   246	CVB
   247	CXB
   248	CYA
   249	CYF
   250	CYO
   251	CZ2
   252	CZ6
   253	CZ7
   254	CZ8
   255	CZ9
   256	CZZ
   257	D2X
   258	D3O
   259	D4D
   260	D4T
   261	D7K
   262	D8U
   263	DAA
   264	DAD
   265	DAE
   266	DAQ
   267	DAT
   268	DCP
   269	DCT
   270	DDS
   271	DDY
   272	DED
   273	DG3
   274	DGI
   275	DGT
   276	DI2
   277	DI3
   278	DI4
   279	DI5
   280	DJF
   281	DMA
   282	DML
   283	DNR
   284	DOT
   285	DP7
   286	DPX
   287	DTP
   288	DUD
   289	DUN
   290	DUP
   291	DUT
   292	DWW
   293	DWX
   294	DWY
   295	DYB
   296	DZ4
   297	E06
   298	E07
   299	E08
   300	EA2
   301	EAB
   302	EF1
   303	EIP
   304	EMA
   305	EO9
   306	ETH
   307	ETP
   308	EWA
   309	EWB
   310	EXC
   311	F2A
   312	F3A
   313	FB5
   314	FB6
   315	FC3
   316	FDF
   317	FFF
   318	F
   319	FGG
   320	FHA
   321	FHG
   322	FL4
   323	FLO
   324	FM7
   325	FMG
   326	FMN
   327	FNS
   328	FP5
   329	FPP
   330	FQP
   331	FTP
   332	FUP
   333	G1C
   334	G1M
   335	G2C
   336	G2M
   337	G3D
   338	GA
   339	GAV
   340	GBO
   341	GBR
   342	GCK
   343	GCP
   344	GCQ
   345	GDP
   346	GFC
   347	GFH
   348	GFM
   349	GG3
   350	GGH
   351	GGS
   352	GH3
   353	GHA
   354	GIP
   355	GK8
   356	GM2
   357	GNP
