0/0J6 | does not exist 0/0J6.min.out                                                     | does not exist 0/0J6.min_igb.out                                                
0/04G | does not exist 0/04G.min.out                                                     | does not exist 0/04G.min_igb.out                                                
0/0OX | does not exist 0/0OX.min.out                                                     | does not exist 0/0OX.min_igb.out                                                
0/0WS |                                                                                  | 1-4 VDW =        4.6682  1-4 EEL =      173.5325  RESTRAINT  =        0.0000    
0/0T0 | does not exist 0/0T0.min.out                                                     | does not exist 0/0T0.min_igb.out                                                
0/0KQ | does not exist 0/0KQ.min.out                                                     | does not exist 0/0KQ.min_igb.out                                                
0/0D1 | does not exist 0/0D1.min.out                                                     | does not exist 0/0D1.min_igb.out                                                
0/0GT | does not exist 0/0GT.min.out                                                     | does not exist 0/0GT.min_igb.out                                                
0/0LW | 1-4 VDW =        7.5191  1-4 EEL =       25.9561  RESTRAINT  =        0.0000     | does not exist 0/0LW.min_igb.out                                                
0/0W7 | does not exist 0/0W7.min.out                                                     | does not exist 0/0W7.min_igb.out                                                
0/0WY | does not exist 0/0WY.min.out                                                     | does not exist 0/0WY.min_igb.out                                                
0/08H | does not exist 0/08H.min.out                                                     | does not exist 0/08H.min_igb.out                                                
0/07K | does not exist 0/07K.min.out                                                     | does not exist 0/07K.min_igb.out                                                
0/0DQ | does not exist 0/0DQ.min.out                                                     | does not exist 0/0DQ.min_igb.out                                                
0/0F0 | does not exist 0/0F0.min.out                                                     | does not exist 0/0F0.min_igb.out                                                
0/0B2 | does not exist 0/0B2.min.out                                                     | does not exist 0/0B2.min_igb.out                                                
0/0X0 | does not exist 0/0X0.min.out                                                     | does not exist 0/0X0.min_igb.out                                                
0/0UL | does not exist 0/0UL.min.out                                                     | does not exist 0/0UL.min_igb.out                                                
0/0MY | does not exist 0/0MY.min.out                                                     | does not exist 0/0MY.min_igb.out                                                
0/0VN | does not exist 0/0VN.min.out                                                     | does not exist 0/0VN.min_igb.out                                                
0/0LY |                                                                                  | |Total         0.00000 GB     0.00000 GB                                        
0/0JO | does not exist 0/0JO.min.out                                                     | does not exist 0/0JO.min_igb.out                                                
